query_id,query_source_doc_index,query_source_title,query_text,system,rank,result_doc_index,result_title,result_abstract,score,latency_ms,label
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,1,2704,Graph Neural Networks for the Prediction of Substrate-Specific Organic Reaction Conditions,"We present a systematic investigation using graph neural networks (GNNs) to
model organic chemical reactions. To do so, we prepared a dataset collection of
four ubiquitous reactions from the organic chemistry literature. We evaluate
seven different GNN architectures for classification tasks pertaining to the
identification of experimental reagents and conditions. We find that models are
able to identify specific graph features that affect reaction conditions and
lead to accurate predictions. The results herein show great promise in
advancing molecular machine learning.",0.814505756,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,2,2632,PiNet: Attention Pooling for Graph Classification,"We propose PiNet, a generalised differentiable attention-based pooling
mechanism for utilising graph convolution operations for graph level
classification. We demonstrate high sample efficiency and superior performance
over other graph neural networks in distinguishing isomorphic graph classes, as
well as competitive results with state of the art methods on standard
chemo-informatics datasets.",0.811378121,720.239643,0
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,3,23970,Path-Augmented Graph Transformer Network,"Much of the recent work on learning molecular representations has been based
on Graph Convolution Networks (GCN). These models rely on local aggregation
operations and can therefore miss higher-order graph properties. To remedy
this, we propose Path-Augmented Graph Transformer Networks (PAGTN) that are
explicitly built on longer-range dependencies in graph-structured data.
Specifically, we use path features in molecular graphs to create global
attention layers. We compare our PAGTN model against the GCN model and show
that our model consistently outperforms GCNs on molecular property prediction
datasets including quantum chemistry (QM7, QM8, QM9), physical chemistry (ESOL,
Lipophilictiy) and biochemistry (BACE, BBBP).",0.783609867,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,4,2215,MolCLR: Molecular Contrastive Learning of Representations via Graph Neural Networks,"Molecular machine learning bears promise for efficient molecule property
prediction and drug discovery. However, due to the limited labeled data and the
giant chemical space, machine learning models trained via supervised learning
perform poorly in generalization. This greatly limits the applications of
machine learning methods for molecular design and discovery. In this work, we
present MolCLR: Molecular Contrastive Learning of Representations via Graph
Neural Networks (GNNs), a self-supervised learning framework for large
unlabeled molecule datasets. Specifically, we first build a molecular graph,
where each node represents an atom and each edge represents a chemical bond. A
GNN is then used to encode the molecule graph. We propose three novel molecule
graph augmentations: atom masking, bond deletion, and subgraph removal. A
contrastive estimator is utilized to maximize the agreement of different graph
augmentations from the same molecule. Experiments show that molecule
representations learned by MolCLR can be transferred to multiple downstream
molecular property prediction tasks. Our method thus achieves state-of-the-art
performance on many challenging datasets. We also prove the efficiency of our
proposed molecule graph augmentations on supervised molecular classification
tasks.",0.779295981,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,5,17763,On Graph Neural Network Ensembles for Large-Scale Molecular Property Prediction,"In order to advance large-scale graph machine learning, the Open Graph
Benchmark Large Scale Challenge (OGB-LSC) was proposed at the KDD Cup 2021. The
PCQM4M-LSC dataset defines a molecular HOMO-LUMO property prediction task on
about 3.8M graphs. In this short paper, we show our current work-in-progress
solution which builds an ensemble of three graph neural networks models based
on GIN, Bayesian Neural Networks and DiffPool. Our approach outperforms the
provided baseline by 7.6%. Moreover, using uncertainty in our ensemble's
prediction, we can identify molecules whose HOMO-LUMO gaps are harder to
predict (with Pearson's correlation of 0.5181). We anticipate that this will
facilitate active learning.",0.779099822,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,6,38868,Analyzing Learned Molecular Representations for Property Prediction,"Advancements in neural machinery have led to a wide range of algorithmic
solutions for molecular property prediction. Two classes of models in
particular have yielded promising results: neural networks applied to computed
molecular fingerprints or expert-crafted descriptors, and graph convolutional
neural networks that construct a learned molecular representation by operating
on the graph structure of the molecule. However, recent literature has yet to
clearly determine which of these two methods is superior when generalizing to
new chemical space. Furthermore, prior research has rarely examined these new
models in industry research settings in comparison to existing employed models.
In this paper, we benchmark models extensively on 19 public and 16 proprietary
industrial datasets spanning a wide variety of chemical endpoints. In addition,
we introduce a graph convolutional model that consistently matches or
outperforms models using fixed molecular descriptors as well as previous graph
neural architectures on both public and proprietary datasets. Our empirical
findings indicate that while approaches based on these representations have yet
to reach the level of experimental reproducibility, our proposed model
nevertheless offers significant improvements over models currently used in
industrial workflows.",0.778244734,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,7,24055,Graph Convolution: A High-Order and Adaptive Approach,"In this paper, we presented a novel convolutional neural network framework
for graph modeling, with the introduction of two new modules specially designed
for graph-structured data: the $k$-th order convolution operator and the
adaptive filtering module. Importantly, our framework of High-order and
Adaptive Graph Convolutional Network (HA-GCN) is a general-purposed
architecture that fits various applications on both node and graph centrics, as
well as graph generative models. We conducted extensive experiments on
demonstrating the advantages of our framework. Particularly, our HA-GCN
outperforms the state-of-the-art models on node classification and molecule
property prediction tasks. It also generates 32% more real molecules on the
molecule generation task, both of which will significantly benefit real-world
applications such as material design and drug screening.",0.778221846,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,8,19584,Weisfeiler-Lehman Embedding for Molecular Graph Neural Networks,"A graph neural network (GNN) is a good choice for predicting the chemical
properties of molecules. Compared with other deep networks, however, the
current performance of a GNN is limited owing to the ""curse of depth."" Inspired
by long-established feature engineering in the field of chemistry, we expanded
an atom representation using Weisfeiler-Lehman (WL) embedding, which is
designed to capture local atomic patterns dominating the chemical properties of
a molecule. In terms of representability, we show WL embedding can replace the
first two layers of ReLU GNN -- a normal embedding and a hidden GNN layer --
with a smaller weight norm. We then demonstrate that WL embedding consistently
improves the empirical performance over multiple GNN architectures and several
molecular graph datasets.",0.777594984,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,9,19054,HydroNet: Benchmark Tasks for Preserving Intermolecular Interactions and Structural Motifs in Predictive and Generative Models for Molecular Data,"Intermolecular and long-range interactions are central to phenomena as
diverse as gene regulation, topological states of quantum materials,
electrolyte transport in batteries, and the universal solvation properties of
water. We present a set of challenge problems for preserving intermolecular
interactions and structural motifs in machine-learning approaches to chemical
problems, through the use of a recently published dataset of 4.95 million water
clusters held together by hydrogen bonding interactions and resulting in longer
range structural patterns. The dataset provides spatial coordinates as well as
two types of graph representations, to accommodate a variety of
machine-learning practices.",0.769391775,720.239643,0
0,,,graph neural networks to molecular property prediction for drug discovery.,semantic_fullscan,10,24050,Graph Memory Networks for Molecular Activity Prediction,"Molecular activity prediction is critical in drug design. Machine learning
techniques such as kernel methods and random forests have been successful for
this task. These models require fixed-size feature vectors as input while the
molecules are variable in size and structure. As a result, fixed-size
fingerprint representation is poor in handling substructures for large
molecules. In addition, molecular activity tests, or a so-called BioAssays, are
relatively small in the number of tested molecules due to its complexity. Here
we approach the problem through deep neural networks as they are flexible in
modeling structured data such as grids, sequences and graphs. We train multiple
BioAssays using a multi-task learning framework, which combines information
from multiple sources to improve the performance of prediction, especially on
small datasets. We propose Graph Memory Network (GraphMem), a memory-augmented
neural network to model the graph structure in molecules. GraphMem consists of
a recurrent controller coupled with an external memory whose cells dynamically
interact and change through a multi-hop reasoning process. Applied to the
molecules, the dynamic interactions enable an iterative refinement of the
representation of molecular graphs with multiple bond types. GraphMem is
capable of jointly training on multiple datasets by using a specific-task query
fed to the controller as an input. We demonstrate the effectiveness of the
proposed model for separately and jointly training on more than 100K
measurements, spanning across 9 BioAssay activity tests.",0.768056333,720.239643,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,1,18700,Few-Shot Graph Learning for Molecular Property Prediction,"The recent success of graph neural networks has significantly boosted
molecular property prediction, advancing activities such as drug discovery. The
existing deep neural network methods usually require large training dataset for
each property, impairing their performances in cases (especially for new
molecular properties) with a limited amount of experimental data, which are
common in real situations. To this end, we propose Meta-MGNN, a novel model for
few-shot molecular property prediction. Meta-MGNN applies molecular graph
neural network to learn molecular representation and builds a meta-learning
framework for model optimization. To exploit unlabeled molecular information
and address task heterogeneity of different molecular properties, Meta-MGNN
further incorporates molecular structure, attribute based self-supervised
modules and self-attentive task weights into the former framework,
strengthening the whole learning model. Extensive experiments on two public
multi-property datasets demonstrate that Meta-MGNN outperforms a variety of
state-of-the-art methods.",0.596477826,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,2,38866,Gated Graph Recursive Neural Networks for Molecular Property Prediction,"Molecule property prediction is a fundamental problem for computer-aided drug
discovery and materials science. Quantum-chemical simulations such as density
functional theory (DFT) have been widely used for calculating the molecule
properties, however, because of the heavy computational cost, it is difficult
to search a huge number of potential chemical compounds. Machine learning
methods for molecular modeling are attractive alternatives, however, the
development of expressive, accurate, and scalable graph neural networks for
learning molecular representations is still challenging. In this work, we
propose a simple and powerful graph neural networks for molecular property
prediction. We model a molecular as a directed complete graph in which each
atom has a spatial position, and introduce a recursive neural network with
simple gating function. We also feed input embeddings for every layers as skip
connections to accelerate the training. Experimental results show that our
model achieves the state-of-the-art performance on the standard benchmark
dataset for molecular property prediction.",0.577039955,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,3,17643,Property-aware Adaptive Relation Networks for Molecular Property Prediction,"Molecular property prediction plays a fundamental role in drug discovery to
discover candidate molecules with target properties. However, molecular
property prediction is essentially a few-shot problem which makes it hard to
obtain regular models. In this paper, we propose a property-aware adaptive
relation networks (PAR) for the few-shot molecular property prediction problem.
In comparison to existing works, we leverage the facts that both substructures
and relationships among molecules are different considering various molecular
properties. Our PAR is compatible with existing graph-based molecular encoders,
and are further equipped with the ability to obtain property-aware molecular
embedding and model molecular relation graph adaptively. The resultant relation
graph also facilitates effective label propagation within each task. Extensive
experiments on benchmark molecular property prediction datasets show that our
method consistently outperforms state-of-the-art methods and is able to obtain
property-aware molecular embedding and model molecular relation graph properly.",0.538130167,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,4,18935,Learn molecular representations from large-scale unlabeled molecules for drug discovery,"How to produce expressive molecular representations is a fundamental
challenge in AI-driven drug discovery. Graph neural network (GNN) has emerged
as a powerful technique for modeling molecular data. However, previous
supervised approaches usually suffer from the scarcity of labeled data and have
poor generalization capability. Here, we proposed a novel Molecular
Pre-training Graph-based deep learning framework, named MPG, that leans
molecular representations from large-scale unlabeled molecules. In MPG, we
proposed a powerful MolGNet model and an effective self-supervised strategy for
pre-training the model at both the node and graph-level. After pre-training on
11 million unlabeled molecules, we revealed that MolGNet can capture valuable
chemistry insights to produce interpretable representation. The pre-trained
MolGNet can be fine-tuned with just one additional output layer to create
state-of-the-art models for a wide range of drug discovery tasks, including
molecular properties prediction, drug-drug interaction, and drug-target
interaction, involving 13 benchmark datasets. Our work demonstrates that MPG is
promising to become a novel approach in the drug discovery pipeline.",0.504333833,64.146342,0
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,5,18156,Interpretable Drug Synergy Prediction with Graph Neural Networks for Human-AI Collaboration in Healthcare,"We investigate molecular mechanisms of resistant or sensitive response of
cancer drug combination therapies in an inductive and interpretable manner.
Though deep learning algorithms are widely used in the drug synergy prediction
problem, it is still an open problem to formulate the prediction model with
biological meaning to investigate the mysterious mechanisms of synergy (MoS)
for the human-AI collaboration in healthcare systems. To address the
challenges, we propose a deep graph neural network, IDSP (Interpretable Deep
Signaling Pathways), to incorporate the gene-gene as well as gene-drug
regulatory relationships in synergic drug combination predictions. IDSP
automatically learns weights of edges based on the gene and drug node
relations, i.e., signaling interactions, by a multi-layer perceptron (MLP) and
aggregates information in an inductive manner. The proposed architecture
generates interpretable drug synergy prediction by detecting important
signaling interactions, and can be implemented when the underlying molecular
mechanism encounters unseen genes or signaling pathways. We test IDWSP on
signaling networks formulated by genes from 46 core cancer signaling pathways
and drug combinations from NCI ALMANAC drug combination screening data. The
experimental results demonstrated that 1) IDSP can learn from the underlying
molecular mechanism to make prediction without additional drug chemical
information while achieving highly comparable performance with current
state-of-art methods; 2) IDSP show superior generality and flexibility to
implement the synergy prediction task on both transductive tasks and inductive
tasks. 3) IDSP can generate interpretable results by detecting different
salient signaling patterns (i.e. MoS) for different cell lines.",0.456389535,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,6,19896,MoFlow: An Invertible Flow Model for Generating Molecular Graphs,"Generating molecular graphs with desired chemical properties driven by deep
graph generative models provides a very promising way to accelerate drug
discovery process. Such graph generative models usually consist of two steps:
learning latent representations and generation of molecular graphs. However, to
generate novel and chemically-valid molecular graphs from latent
representations is very challenging because of the chemical constraints and
combinatorial complexity of molecular graphs. In this paper, we propose MoFlow,
a flow-based graph generative model to learn invertible mappings between
molecular graphs and their latent representations. To generate molecular
graphs, our MoFlow first generates bonds (edges) through a Glow based model,
then generates atoms (nodes) given bonds by a novel graph conditional flow, and
finally assembles them into a chemically valid molecular graph with a posthoc
validity correction. Our MoFlow has merits including exact and tractable
likelihood training, efficient one-pass embedding and generation, chemical
validity guarantees, 100\% reconstruction of training data, and good
generalization ability. We validate our model by four tasks: molecular graph
generation and reconstruction, visualization of the continuous latent space,
property optimization, and constrained property optimization. Our MoFlow
achieves state-of-the-art performance, which implies its potential efficiency
and effectiveness to explore large chemical space for drug discovery.",0.450464885,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,7,38936,Learning Graph-Level Representation for Drug Discovery,"Predicating macroscopic influences of drugs on human body, like efficacy and
toxicity, is a central problem of small-molecule based drug discovery.
Molecules can be represented as an undirected graph, and we can utilize graph
convolution networks to predication molecular properties. However, graph
convolutional networks and other graph neural networks all focus on learning
node-level representation rather than graph-level representation. Previous
works simply sum all feature vectors for all nodes in the graph to obtain the
graph feature vector for drug predication. In this paper, we introduce a dummy
super node that is connected with all nodes in the graph by a directed edge as
the representation of the graph and modify the graph operation to help the
dummy super node learn graph-level feature. Thus, we can handle graph-level
classification and regression in the same way as node-level classification and
regression. In addition, we apply focal loss to address class imbalance in drug
datasets. The experiments on MoleculeNet show that our method can effectively
improve the performance of molecular properties predication.",0.444357418,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,8,10519,Artificial Intelligence in Drug Discovery: Applications and Techniques,"Artificial intelligence (AI) has been transforming the practice of drug
discovery in the past decade. Various AI techniques have been used in a wide
range of applications, such as virtual screening and drug design. In this
survey, we first give an overview on drug discovery and discuss related
applications, which can be reduced to two major tasks, i.e., molecular property
prediction and molecule generation. We then discuss common data resources,
molecule representations and benchmark platforms. Furthermore, to summarize the
progress of AI in drug discovery, we present the relevant AI techniques
including model architectures and learning paradigms in the papers surveyed. We
expect that this survey will serve as a guide for researchers who are
interested in working at the interface of artificial intelligence and drug
discovery. We also provide a GitHub repository
(https://github.com/dengjianyuan/Survey_AI_Drug_Discovery) with the collection
of papers and codes, if applicable, as a learning resource, which is regularly
updated.",0.433552418,64.146342,0
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,9,19708,Visualizing Deep Graph Generative Models for Drug Discovery,"Drug discovery aims at designing novel molecules with specific desired
properties for clinical trials. Over past decades, drug discovery and
development have been a costly and time consuming process. Driven by big
chemical data and AI, deep generative models show great potential to accelerate
the drug discovery process. Existing works investigate different deep
generative frameworks for molecular generation, however, less attention has
been paid to the visualization tools to quickly demo and evaluate model's
results. Here, we propose a visualization framework which provides interactive
visualization tools to visualize molecules generated during the encoding and
decoding process of deep graph generative models, and provide real time
molecular optimization functionalities. Our work tries to empower black box AI
driven drug discovery models with some visual interpretabilities.",0.422891198,64.146342,1
0,,,graph neural networks to molecular property prediction for drug discovery.,tfidf_fullscan,10,2215,MolCLR: Molecular Contrastive Learning of Representations via Graph Neural Networks,"Molecular machine learning bears promise for efficient molecule property
prediction and drug discovery. However, due to the limited labeled data and the
giant chemical space, machine learning models trained via supervised learning
perform poorly in generalization. This greatly limits the applications of
machine learning methods for molecular design and discovery. In this work, we
present MolCLR: Molecular Contrastive Learning of Representations via Graph
Neural Networks (GNNs), a self-supervised learning framework for large
unlabeled molecule datasets. Specifically, we first build a molecular graph,
where each node represents an atom and each edge represents a chemical bond. A
GNN is then used to encode the molecule graph. We propose three novel molecule
graph augmentations: atom masking, bond deletion, and subgraph removal. A
contrastive estimator is utilized to maximize the agreement of different graph
augmentations from the same molecule. Experiments show that molecule
representations learned by MolCLR can be transferred to multiple downstream
molecular property prediction tasks. Our method thus achieves state-of-the-art
performance on many challenging datasets. We also prove the efficiency of our
proposed molecule graph augmentations on supervised molecular classification
tasks.",0.420552063,64.146342,1
1,,,convolutional neural network architecture for image classification,hybrid_clustered_faiss,1,36429,Advancements in Image Classification using Convolutional Neural Network,"Convolutional Neural Network (CNN) is the state-of-the-art for image
classification task. Here we have briefly discussed different components of
CNN. In this paper, We have explained different CNN architectures for image
classification. Through this paper, we have shown advancements in CNN from
LeNet-5 to latest SENet model. We have discussed the model description and
training details of each model. We have also drawn a comparison among those
models.",0.6365,207.468036,1
1,,,convolutional neural network architecture for image classification,hybrid_clustered_faiss,2,33698,"Reproduction Report on ""Learn to Pay Attention""","We have successfully implemented the ""Learn to Pay Attention"" model of
attention mechanism in convolutional neural networks, and have replicated the
results of the original paper in the categories of image classification and
fine-grained recognition.",0.6329,207.468036,1
1,,,convolutional neural network architecture for image classification,hybrid_clustered_faiss,3,30053,Convolutional Low-Resolution Fine-Grained Classification,"Successful fine-grained image classification methods learn subtle details
between visually similar (sub-)classes, but the problem becomes significantly
more challenging if the details are missing due to low resolution. Encouraged
by the recent success of Convolutional Neural Network (CNN) architectures in
image classification, we propose a novel resolution-aware deep model which
combines convolutional image super-resolution and convolutional fine-grained
classification into a single model in an end-to-end manner. Extensive
experiments on the Stanford Cars and Caltech-UCSD Birds 200-2011 benchmarks
demonstrate that the proposed model consistently performs better than
conventional convolutional net on classifying fine-grained object classes in
low-resolution images.",0.6136,207.468036,1
1,,,convolutional neural network architecture for image classification,hybrid_clustered_faiss,4,21179,Color Cerberus,"Simple convolutional neural network was able to win ISISPA color constancy
competition. Partial reimplementation of (Bianco, 2017) neural architecture
would have shown even better results in this setup.",0.6133,207.468036,1
